method,avg_rank,std_rank,cd
xgb,1.0,0.0,23.067547886657533
cat,2.0,0.0,23.067547886657533
lgbm,3.0,0.0,23.067547886657533
ptest_pc,4.0,0.0,23.067547886657533
ptest_rdc,5.0,0.0,23.067547886657533
pi,6.0,0.0,23.067547886657533
boruta,8.0,0.0,23.067547886657533
cit,8.0,0.0,23.067547886657533
rfe,8.0,0.0,23.067547886657533
cif,10.5,0.0,23.067547886657533
r_ctree,10.5,0.0,23.067547886657533
rf,12.0,0.0,23.067547886657533
ptest_dc,13.0,0.0,23.067547886657533
et,14.0,0.0,23.067547886657533
cpi,15.0,0.0,23.067547886657533
r_cforest,16.0,0.0,23.067547886657533
