task,dataset,downstream_model,endpoint_k,method_base,method_id,has_endpoint_row,missing_endpoint_row
classification,CLL_SUB_111,lr,11340,cat,cat__024a0842d4337711,True,False
classification,CLL_SUB_111,lr,11340,cif,cif__6556bbc3e830b25a,True,False
classification,CLL_SUB_111,lr,11340,cit,cit__bc8d0ddbb26c15b5,True,False
classification,CLL_SUB_111,lr,11340,cpi,cpi__6e89acc5e72da5a8,True,False
classification,CLL_SUB_111,lr,11340,dt,dt__99914b932bd37a50,True,False
classification,CLL_SUB_111,lr,11340,et,et__f5580a1865f967c8,True,False
classification,CLL_SUB_111,lr,11340,lgbm,lgbm__71ba9ba402678146,True,False
classification,CLL_SUB_111,lr,11340,pi,pi__6e89acc5e72da5a8,True,False
classification,CLL_SUB_111,lr,11340,ptest_mc,ptest_mc__307d6fc3284c28e2,True,False
classification,CLL_SUB_111,lr,11340,ptest_rdc,ptest_rdc__307d6fc3284c28e2,True,False
classification,CLL_SUB_111,lr,11340,r_cforest,r_cforest__37be32340835a93b,True,False
classification,CLL_SUB_111,lr,11340,r_ctree,r_ctree__b6e09ceb0eb26367,True,False
classification,CLL_SUB_111,lr,11340,rf,rf__27caa3a0a3b84fd9,True,False
classification,CLL_SUB_111,lr,11340,rfe,rfe__99914b932bd37a50,True,False
classification,CLL_SUB_111,lr,11340,rt,rt__99914b932bd37a50,True,False
classification,CLL_SUB_111,lr,11340,xgb,xgb__1c62fadfc5e2988f,True,False
classification,CLL_SUB_111,svm,11340,boruta,boruta__7f986516a1727870,True,False
classification,CLL_SUB_111,svm,11340,cat,cat__024a0842d4337711,True,False
classification,CLL_SUB_111,svm,11340,cif,cif__6556bbc3e830b25a,True,False
classification,CLL_SUB_111,svm,11340,cit,cit__bc8d0ddbb26c15b5,True,False
classification,CLL_SUB_111,svm,11340,cpi,cpi__6e89acc5e72da5a8,True,False
classification,CLL_SUB_111,svm,11340,dt,dt__99914b932bd37a50,True,False
classification,CLL_SUB_111,svm,11340,et,et__f5580a1865f967c8,True,False
classification,CLL_SUB_111,svm,11340,lgbm,lgbm__71ba9ba402678146,True,False
classification,CLL_SUB_111,svm,11340,pi,pi__6e89acc5e72da5a8,True,False
classification,CLL_SUB_111,svm,11340,ptest_mc,ptest_mc__307d6fc3284c28e2,True,False
classification,CLL_SUB_111,svm,11340,ptest_rdc,ptest_rdc__307d6fc3284c28e2,True,False
classification,CLL_SUB_111,svm,11340,r_cforest,r_cforest__37be32340835a93b,True,False
classification,CLL_SUB_111,svm,11340,r_ctree,r_ctree__b6e09ceb0eb26367,True,False
classification,CLL_SUB_111,svm,11340,rf,rf__27caa3a0a3b84fd9,True,False
classification,CLL_SUB_111,svm,11340,rfe,rfe__99914b932bd37a50,True,False
classification,CLL_SUB_111,svm,11340,rt,rt__99914b932bd37a50,True,False
classification,CLL_SUB_111,svm,11340,xgb,xgb__1c62fadfc5e2988f,True,False
classification,ORL,knn,1024,boruta,boruta__7f986516a1727870,True,False
classification,ORL,knn,1024,cat,cat__024a0842d4337711,True,False
classification,ORL,knn,1024,cif,cif__6556bbc3e830b25a,True,False
classification,ORL,knn,1024,cit,cit__bc8d0ddbb26c15b5,True,False
classification,ORL,knn,1024,cpi,cpi__6e89acc5e72da5a8,True,False
classification,ORL,knn,1024,dt,dt__99914b932bd37a50,True,False
classification,ORL,knn,1024,et,et__f5580a1865f967c8,True,False
classification,ORL,knn,1024,lgbm,lgbm__71ba9ba402678146,True,False
classification,ORL,knn,1024,pi,pi__6e89acc5e72da5a8,True,False
classification,ORL,knn,1024,ptest_mc,ptest_mc__307d6fc3284c28e2,True,False
classification,ORL,knn,1024,ptest_rdc,ptest_rdc__307d6fc3284c28e2,True,False
classification,ORL,knn,1024,r_cforest,r_cforest__37be32340835a93b,True,False
classification,ORL,knn,1024,r_ctree,r_ctree__b6e09ceb0eb26367,True,False
classification,ORL,knn,1024,rf,rf__27caa3a0a3b84fd9,True,False
